Date,Time,Match
12-Apr-25, 3:30 PM,LSG vs GT
12-Apr-25, 7:30 PM,SRH vs PBKS
13-Apr-25, 3:30 PM,RR vs RCB
13-Apr-25, 7:30 PM,DC vs MI
14-Apr-25, 7:30 PM,LSG vs CSK
15-Apr-25, 7:30 PM,KKR vs PBKS
16-Apr-25, 7:30 PM,DC vs RR
17-Apr-25, 7:30 PM,MI vs SRH
18-Apr-25, 7:30 PM,RCB vs PBKS
19-Apr-25, 3:30 PM,GT vs DC
19-Apr-25, 7:30 PM,LSG vs RR
20-Apr-25, 3:30 PM,PBKS vs RCB
20-Apr-25, 7:30 PM,MI vs CSK
21-Apr-25, 7:30 PM,KKR vs GT
22-Apr-25, 7:30 PM,LSG vs DC
23-Apr-25, 7:30 PM,SRH vs MI
24-Apr-25, 7:30 PM,RCB vs RR
25-Apr-25, 7:30 PM,CSK vs SRH
26-Apr-25, 7:30 PM,KKR vs PBKS
27-Apr-25, 3:30 PM,MI vs LSG
27-Apr-25, 7:30 PM,DC vs RCB
28-Apr-25, 7:30 PM,RR vs GT
29-Apr-25, 7:30 PM,DC vs KKR
30-Apr-25, 7:30 PM,CSK vs PBKS
1-May-25, 7:30 PM,RR vs MI
2-May-25, 7:30 PM,GT vs SRH
3-May-25, 7:30 PM,RCB vs CSK
4-May-25, 3:30 PM,KKR vs RR
4-May-25, 7:30 PM,PBKS vs LSG
5-May-25, 7:30 PM,SRH vs DC
6-May-25, 7:30 PM,MI vs GT
7-May-25, 7:30 PM,KKR vs CSK
8-May-25, 7:30 PM,PBKS vs DC
17-May-25, 7:30 PM,RCB vs KKR
18-May-25, 3:30 PM,RR vs PBKS
18-May-25, 7:30 PM,DC vs GT
19-May-25, 7:30 PM,LSG vs SRH
20-May-25, 7:30 PM,CSK vs RR
21-May-25, 7:30 PM,MI vs DC
22-May-25, 7:30 PM,GT vs LSG
23-May-25, 7:30 PM,RCB vs SRH
24-May-25, 7:30 PM,PBKS vs DC
25-May-25, 3:30 PM,GT vs CSK
25-May-25, 7:30 PM,SRH vs KKR
26-May-25, 7:30 PM,PBKS vs MI
27-May-25, 7:30 PM,LSG vs RCB
29-May-25, 7:30 PM,PBKS vs RCB
30-May-25, 7:30 PM,GT vs MI
1-Jun-25, 7:30 PM,MI vs PBKS
3-Jun-25, 7:30 PM,RCB vs MI
